X,Y,Color
-35.821532821052536,13.03861433265517,yellow
-38.032432318382945,15.542237239347106,yellow
-40.87130099388457,17.9401274654035,yellow
-44.51415463531775,19.433357927108126,yellow
-47.94768175786844,19.376527692784563,yellow
-51.452151056186466,18.039801337197716,yellow
-54.2880371297983,15.724022814618788,yellow
-55.92265141184415,12.212844560654117,yellow
-56.19220423872183,8.7460270646411,yellow
-56.00266406454081,5.036257073445563,yellow
-55.90905865171926,1.2531642076681846,yellow
-56.466175649166324,-2.43349184726447,yellow
-58.0430289286458,-5.753321357740783,yellow
-60.490916637889036,-8.155498034160468,yellow
-64.13651768446462,-9.158885314525708,yellow
-67.72125484578609,-9.13670361607086,yellow
-71.5539076209933,-9.547988005752853,yellow
-75.134550156661,-11.126506192807312,yellow
-77.32064869500532,-13.721319521715984,yellow
-77.3852240588441,-17.010084899193988,yellow
-76.24714128538082,-20.437633989586562,yellow
-74.66073966987194,-23.647225466953255,yellow
-72.70655126814056,-26.607353274038626,yellow
-70.41973460898525,-29.308412381640164,yellow
-67.83544822120469,-31.740797760555218,yellow
-64.98885063359755,-33.894904381581156,yellow
-61.915100374962414,-35.76112721551544,yellow
-58.649355974098,-37.329861233155405,yellow
-55.226776719330964,-38.59151271724289,yellow
-51.6838533842374,-39.55631827246054,yellow
-48.06114649462867,-40.295126888868246,yellow
-44.399991440070764,-40.890327900454196,yellow
-40.741723610129704,-41.42431064120664,yellow
-37.1276783943713,-41.97946444511378,yellow
-33.59919118236162,-42.63817864616384,yellow
-30.197597363666492,-43.482842578345064,yellow
-26.444596139084595,-44.81321964895962,yellow
-23.459741356220963,-46.34341585269017,yellow
-20.289723125366812,-48.679294420125466,yellow
-17.75362679838922,-51.08523407308541,yellow
-15.242608892970422,-53.725575714816806,yellow
-12.621190862543658,-56.46820947268502,yellow
-9.79571473142088,-59.13791332003477,yellow
-6.837537210233517,-61.3893542436129,yellow
-3.3680982778470554,-62.97071962472488,yellow
0.40280939984416325,-62.64965337770765,yellow
3.2892721282025903,-60.230873451251654,yellow
5.215418102321759,-57.02930646788985,yellow
6.281801358848374,-53.90687953285282,yellow
6.7353090242710545,-50.646997665378045,yellow
6.308012728551174,-46.9176037414553,yellow
4.664018633604283,-43.78630658071822,yellow
2.1407657852301094,-41.31177557006973,yellow
-0.9199046131123332,-38.939922621059765,yellow
-3.4457675311253606,-36.39449066559118,yellow
-6.44968754726629,-33.97473705807778,yellow
-9.770553663187927,-32.61321063539421,yellow
-13.062115520387174,-31.717368649541122,yellow
-16.645604383634083,-30.85533799216185,yellow
-20.408340897263678,-29.82200460591227,yellow
-23.59845509771033,-28.68251684388729,yellow
-27.18496852278751,-26.888478026579584,yellow
-30.031245352317416,-24.297775461052066,yellow
-30.052474464297383,-20.87154534548982,yellow
-27.949741686163247,-18.275792324523607,yellow
-24.894625276959005,-16.008296558787222,yellow
-21.576780127668,-14.33337011662021,yellow
-18.16894674406631,-13.256816899920699,yellow
-14.689882693435854,-12.707434156811011,yellow
-11.158319370058543,-12.614006046332515,yellow
-7.592988168216285,-12.905316727526557,yellow
-4.012620482191001,-13.510150359434514,yellow
-0.43594770626461266,-14.357291101097731,yellow
3.1182987652809873,-15.375523111557587,yellow
6.631387538163854,-16.49363054985543,yellow
10.084587218102099,-17.64039757503263,yellow
13.468250484900413,-18.754521521494095,yellow
16.814263594327812,-19.8200240591888,yellow
20.166376148637,-20.833872969355617,yellow
23.5683386684008,-21.793037035368467,yellow
27.063606136778755,-22.693774401644166,yellow
30.6436432429298,-23.40732916484053,yellow
34.18876224140495,-23.537672153869117,yellow
38.12304173577318,-22.47750872912508,yellow
41.31472354895195,-20.717807315318023,yellow
44.388324078978066,-18.606377514505624,yellow
47.38189984851868,-16.47004388439032,yellow
50.304930539128776,-14.343550150031588,yellow
53.160861336083094,-12.199962096257561,yellow
55.95313742465639,-10.012345507896343,yellow
58.68520399012344,-7.753766169776053,yellow
61.36050621775899,-5.397289866724776,yellow
